key,code,heading,description,preparationNotes,link,key:chef,status
recipe-06,CD:CBS-764,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-03,PUBLISHED
recipe-07,CR:AQD-893,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-01,PUBLISHED
recipe-08,HJ:HJH-879,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-02,PUBLISHED
recipe-09,DD:CNC-899,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-03,NONE_PUBLISHED
recipe-10,MC:JKL-233,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-01,PUBLISHED
recipe-11,HJ:GER-865,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-02,PUBLISHED
recipe-12,DD:CBC-129,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-03,NONE_PUBLISHED
recipe-13,MU:VDL-993,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-01,PUBLISHED
recipe-14,HP:BVV-874,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-02,PUBLISHED
recipe-15,OP:CBV-864,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-03,NONE_PUBLISHED
recipe-16,DF:JZU-993,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-01,PUBLISHED
recipe-17,OD:KLD-889,Texto de prueba,texto de prueba,Texto de prueba,https://google.com,chef-02,PUBLISHED